Time   | Frame  | Pose? | PValid | Hand? | Raw Handedness   | P_NZ  | LH_NZ | RH_NZ | Hist  | Top-1 Prediction       | Top-2 Prediction      
 4.45s |    165 | True  | True   | False | None             |    99 |     0 |     0 |    30 | what (76.2%)           | morning (20.5%)       
 4.53s |    168 | True  | True   | False | None             |    99 |     0 |     0 |    30 | what (76.2%)           | morning (20.5%)       
 4.61s |    171 | True  | True   | False | None             |    99 |     0 |     0 |    30 | what (76.2%)           | morning (20.5%)       
 4.69s |    174 | False | False  | True  | Right:0.92       |     0 |     0 |    63 |    30 | what (90.4%)           | morning (8.7%)        
 4.77s |    177 | False | False  | True  | Right:0.99       |     0 |     0 |    63 |    30 | what (91.4%)           | morning (8.3%)        
 4.85s |    180 | False | False  | True  | Right:1.00       |     0 |     0 |    63 |    30 | what (89.7%)           | morning (10.2%)       
 4.93s |    183 | False | False  | True  | Right:1.00       |     0 |     0 |    63 |    30 | what (83.9%)           | morning (16.1%)       
 5.01s |    186 | False | False  | True  | Right:0.99       |     0 |     0 |    63 |    30 | what (77.6%)           | morning (22.3%)       
 5.09s |    189 | False | False  | True  | Right:1.00       |     0 |     0 |    63 |    30 | what (72.8%)           | morning (27.1%)       
 5.17s |    192 | False | False  | False | None             |     0 |     0 |     0 |    30 | what (72.8%)           | morning (27.1%)       
 5.26s |    195 | True  | True   | False | None             |    99 |     0 |     0 |    30 | what (72.8%)           | morning (27.1%)       
 5.34s |    198 | True  | True   | False | None             |    99 |     0 |     0 |    30 | what (72.8%)           | morning (27.1%)       
 5.42s |    201 | True  | True   | False | None             |    99 |     0 |     0 |    30 | what (72.8%)           | morning (27.1%)       
 5.50s |    204 | True  | True   | False | None             |    99 |     0 |     0 |    30 | what (72.8%)           | morning (27.1%)       
 5.58s |    207 | True  | True   | False | None             |    99 |     0 |     0 |    30 | what (72.8%)           | morning (27.1%)       
 5.66s |    210 | True  | True   | False | None             |    99 |     0 |     0 |    30 | what (72.8%)           | morning (27.1%)       
 5.74s |    213 | True  | True   | False | None             |    99 |     0 |     0 |    30 | what (72.8%)           | morning (27.1%)       
 5.82s |    216 | True  | True   | False | None             |    99 |     0 |     0 |    30 | what (72.8%)           | morning (27.1%)       
 5.90s |    219 | False | False  | False | None             |     0 |     0 |     0 |    30 | what (72.8%)           | morning (27.1%)       
 5.98s |    222 | False | False  | True  | Right:0.97       |     0 |     0 |    63 |    30 | what (77.6%)           | morning (22.3%)       
 6.06s |    225 | False | False  | True  | Right:0.97       |     0 |     0 |    63 |    30 | what (79.2%)           | morning (20.7%)       
 6.14s |    228 | True  | True   | True  | Right:0.99       |    99 |     0 |    63 |    30 | what (88.8%)           | morning (11.1%)       
 6.23s |    231 | True  | True   | True  | Right:0.99       |    99 |     0 |    63 |    30 | what (96.3%)           | morning (3.5%)        
 6.31s |    234 | False | False  | True  | Right:1.00       |     0 |     0 |    63 |    30 | what (97.6%)           | morning (2.0%)        
 6.39s |    237 | True  | True   | True  | Right:1.00       |    99 |     0 |    63 |    30 | what (98.3%)           | good (1.1%)           
 6.47s |    240 | False | False  | True  | Right:1.00       |     0 |     0 |    63 |    30 | what (97.7%)           | good (2.0%)           
 6.55s |    243 | False | False  | True  | Right:1.00       |     0 |     0 |    63 |    30 | what (98.2%)           | good (1.4%)           
